country,immigrants,population
af,2137,24018682
al,3840,3014579
ag,805,33461345
aq,12,59262
ao,107,15976715
av,22,NaN
ac,414,81718
ar,4805,38308779
am,1833,3025652
aa,31,98742
as,2604,20127400
au,402,8171966
aj,969,8306500
bf,586,322400
ba,116,820505
bg,8061,141235035
bb,630,272205
bo,2255,9730000
be,638,10421137
bh,871,265040
bn,185,7922796
bd,100,63740
bt,17,633893
bl,1768,9187610
bk,10552,3886723
bc,34,1854739
br,10556,184010283
vi,35,107950
bx,22,360797
bu,4253,7781161
uv,103,13034258
bm,1379,NaN
by,100,7510771
cb,3553,13149386
cm,1309,17674960
ca,15569,31995000
cv,1015,473577
cj,38,47299
ct,17,3893595
cd,23,9665024
ci,1810,16168241
ch,55494,1296075000
co,18846,42527623
cs,1755,4246336
iv,666,17144325
hr,1511,4439000
cu,20488,11273363
cy,143,1015820
ez,457,10197101
cg,155,3448868
da,566,5404523
dj,37,765776
do,132,70325
dr,30506,9207389
ec,8626,13529091
eg,5522,70591288
en,29807,6050297
en,322,585983
ek,13,4665522
er,675,1362550
et,8286,74066147
fj,1593,818995
fi,388,5228172
fr,3595,62702121
fg,5,NaN
fp,13,251811
gb,50,1347125
ga,422,1391934
gg,964,4318300
gm,7099,82516260
fh,5337,20835514
gr,769,11055729
gj,609,102655
gp,59,NaN
gt,18920,12367800
gv,347,9379621
pu,5,1390791
gy,6351,756939
ha,14191,9129933
ho,5508,6762426
hk,3951,6783500
hu,1272,10107146
ic,105,292074
in,70151,1110626108
id,2419,221293797
ir,10434,69342126
iz,3494,26673536
ei,1531,4070262
is,4160,6809000
it,2346,57685327
jm,14430,2634145
jn,7697,127761000
jo,3431,5290000
kz,1906,15012985
ke,5335,34834606
kr,0,88936
ks,19766,48039415
kv,1,NaN
ku,1091,2196466
kg,439,5104700
lo,1147,5699112
lo,800,5372280
lg,605,2263122
le,3818,3853582
lt,14,1912022
li,2757,3184643
ly,185,5507000
lh,2480,3377075
lu,13,458095
mc,192,458542
mk,775,2085728
ma,54,17763367
mi,83,12569091
my,1987,25365089
mv,7,292505
ml,163,11572936
mt,57,401268
rm,48,52074
mb,26,NaN
mr,170,3055425
mp,65,1233386
mx,175411,109381550
fm,5,106575
mn,7,33346
mg,229,2496248
mj,1,NaN
mh,33,NaN
mo,4128,29855820
mz,59,20438827
wa,40,2003320
np,2878,24921910
nl,1303,16281779
nt,72,NaN
nc,0,230068
nz,1131,4087500
nu,4009,5386299
ng,62,12708897
ni,9374,135999250
no,405,4591910
mu,122,2464001
pk,12086,155151394
ps,6,19805
pm,1417,3303335
pp,19,5948461
pa,328,5793330
pe,11794,27403845
rp,57846,84231329
pl,14326,38182222
po,1069,10483861
qa,125,720383
cf,670,NaN
md,1507,3603945
ro,4571,21451748
rs,17410,143821212
rw,163,9254379
sc,299,48421
st,616,163460
vc,400,108562
ws,203,178794
tp,9,150842
sa,906,23839231
sq,769,10967568
ri,1,7463157
ri,3331,614670
se,25,82500
sl,1596,4928175
sn,966,4166700
si,88,1997012
bp,6,457827
so,3929,8249965
sf,3370,47019452
od,1,7730180
sp,1339,42921895
ce,1431,19435000
su,3211,30778572
ns,166,493394
wz,15,1094758
sw,1270,8993531
sz,855,7389625
sy,2256,17676012
tw,9005,NaN
ti,167,6663929
tz,747,37765139
th,4318,65087400
to,2041,5397851
tn,327,100319
td,5384,1290379
ts,457,9932400
tu,3835,66845635
tx,117,4696876
tk,28,25025
ug,721,27766986
up,14156,47451600
ae,586,3658658
uk,14915,59987905
us,57,292805298
uy,787,3323822
uz,1995,25864350
ve,6220,26261326
vm,31524,81437700
ym,1760,19612696
za,359,11174650
zi,628,12693047
ja,7697,NaN
gl,566,NaN
gh,5337,NaN
sg,522,NaN
la,896,NaN
