country,immigrants,population
af,1648,29105480
al,3612,2829337
ag,1364,37762962
aq,0,55274
ao,148,20180490
av,25,NaN
ac,368,88152
ar,4473,40728738
am,2983,2964120
aa,39,101932
as,2343,22340000
au,424,8406187
aj,728,9173082
bf,668,366331
ba,119,1292764
bg,16707,152862431
bb,455,281804
bo,1964,9473000
be,567,11047744
bh,905,316280
bn,462,9779795
bd,71,64564
bt,10137,729429
bl,2173,10324445
bk,878,3839322
bc,76,1986701
br,11763,196935134
vi,37,105784
bx,25,406512
bu,2661,7348328
uv,433,15995313
bm,16518,NaN
by,593,9540362
cb,2745,14605862
cm,4754,21156272
ca,12800,34342780
cv,1808,490556
cj,41,56601
ct,134,4436217
cd,171,12080037
ci,1853,17308449
ch,87016,1344130000
co,22635,47078792
cs,2135,4737680
iv,1302,19389954
hr,349,4280622
cu,36452,11276053
cy,101,1116513
ez,303,10496088
cg,2424,4225359
da,459,5570572
dj,56,846646
do,287,71401
dr,46109,10147598
ec,11103,15246481
eg,7778,79392466
en,18667,6256242
en,191,715996
ek,13,5932852
er,2102,1327439
et,13793,89393063
fj,1041,867921
fi,363,5388272
fr,3653,65343588
fg,1,NaN
fp,21,270874
gb,204,1594034
ga,972,1734966
gg,1490,4483350
gm,6125,81797673
fh,8798,24820706
gr,949,11123213
gj,579,105074
gp,1,NaN
gt,11092,14706578
gv,1555,11161530
pu,29,1624228
gy,6599,790882
ha,22111,10032864
ho,6133,7776669
hk,2306,7071600
hu,1044,9971727
ic,90,319014
in,69013,1221156319
id,2856,243801639
ir,14822,75424285
iz,21133,31760020
ei,1371,4576794
is,3826,7765800
it,2443,59379449
jm,19662,2699838
jn,6161,127817277
jo,3876,6181000
kz,1235,16556600
ke,7762,42027891
kr,1,99250
ks,22860,49779440
kv,670,NaN
ku,973,3124705
kg,542,5514600
lo,594,6521314
lg,426,2059709
le,3295,4382790
lt,25,2029516
li,4151,4079697
ly,357,6103233
lh,936,3028115
lu,24,518347
mc,130,546278
mk,1078,2103890
ma,83,21678934
mi,123,15457531
my,2273,28758968
mv,3,331964
ml,629,14416737
mt,51,416268
rm,38,52495
mb,0,NaN
mr,393,3702763
mp,101,1286051
mx,143446,119361233
fm,9,103424
mn,6,37261
mg,774,2754209
mj,1,NaN
mh,30,NaN
mo,4399,32059424
mz,60,24581367
wa,43,2217618
np,10166,27156367
nl,1085,16693074
nt,86,NaN
nc,5,254000
nz,803,4405200
nu,3401,5905146
ng,96,16511462
ni,11824,164192925
no,339,4953088
mu,60,3024774
pk,15546,176166353
ps,7,20606
pm,1374,3740282
pp,20,7012977
pa,500,6573097
pe,14064,29614887
rp,57011,95053437
pl,6863,38534157
po,821,10557560
qa,193,1910902
cf,1371,NaN
md,2258,3559986
ro,3882,20147528
rs,7944,142956460
rw,520,11144315
sc,350,52971
st,785,179271
vc,468,109357
ws,267,187429
tp,9,183177
sa,1396,27761728
sq,1424,13330737
ri,244,7234099
ri,1398,620644
se,15,87441
sl,1985,5865491
sn,690,5183700
lo,955,5398384
si,69,2052843
bp,1,537997
so,4451,9907903
sf,2649,51579599
od,1,10381110
sp,1890,46742697
ce,2053,20869000
su,2628,36430923
ns,196,529761
wz,19,1212159
sw,979,9449213
sz,615,7912398
sy,2785,21961676
tw,6154,NaN
ti,382,7814850
tz,1427,46354607
th,9962,66576332
to,1506,6472304
tn,408,104554
td,5023,1333082
ts,440,10673800
tu,4403,73058638
tx,260,5106668
tk,33,31726
ug,1239,35148064
up,8292,45706100
ae,707,8925096
uk,11572,63258918
us,269,311582564
uy,1553,3383486
uz,5056,29339400
ve,9183,29500625
vm,34157,87840000
ym,3361,23304206
za,652,13633796
zi,1016,13358738
ja,6161,
gl,459,
gh,8798,
sg,1524,
la,1688
