country,immigrants,population
af,1202,21347782
al,4358,3064111
ag,875,32150198
aq,28,58176
ao,94,14385283
av,55,NaN
ac,461,78972
ar,3297,37273361
am,1762,3059960
aa,29,92894
as,2811,19413000
au,522,8042293
aj,1152,8111200
bf,924,303005
ba,118,698749
bg,7152,134729503
bb,895,268296
bo,2901,9928000
be,814,10286570
bh,936,245198
bn,75,7174911
bd,98,62504
bt,5,580888
bl,1819,8669066
bk,23594,3879353
bc,24,1783349
br,9448,176968205
vi,70,108386
bx,27,339114
bu,4400,8020282
uv,68,11946080
bm,1373,NaN
by,79,6839376
cb,2462,12472586
cm,791,16350440
ca,21752,31081900
cv,868,450812
cj,23,43317
ct,11,3704045
cd,44,8620917
ci,1921,15639289
ch,56267,1271850000
co,16627,40558648
cs,1733,4013488
iv,596,16420173
hr,2853,4440000
cu,27453,11175465
cy,216,961481
ez,307,10216605
cg,145,3205636
da,706,5358783
dj,22,733732
do,93,69660
dr,21195,8799298
ec,9665,12780869
eg,5159,67204189
en,31089,5985299
en,348,534592
ek,3,4101609
er,540,1388115
et,5092,67956866
fj,1452,814700
fi,497,5188008
fr,4569,61355725
fg,8,NaN
fp,16,241276
gb,32,1255299
ga,390,1266691
gg,786,4386400
gm,9790,82349925
fh,4023,19293392
gr,1155,10951764
gj,645,101849
gp,84,NaN
gt,13496,11478984
gv,11,8895353
pu,273,1301748
gy,8279,747657
ha,27031,8720247
ho,6571,6365040
hk,8300,6714300
hu,1263,10187576
ic,134,284968
in,70032,1059500888
id,2525,211970371
ir,10425,66857624
iz,4965,24516842
ei,1505,3866243
is,3744,6439000
it,3096,56974100
jm,15322,2605556
jn,9578,127149000
jo,4572,4917000
kz,2310,14858335
ke,2501,32126351
kr,0,84261
ks,20532,47357362
kv,1,NaN
ku,1258,1980604
kg,582,4945100
lo,1398,5470169
lo,809,5378867
lg,711,2337170
le,4579,3357600
lt,6,1871500
li,2273,2998770
ly,223,5258677
lh,1732,3470818
lu,34,441525
mc,340,438080
mk,921,2065098
ma,61,16235767
mi,70,11623166
my,2439,23925742
mv,9,277825
ml,119,10562768
mt,57,393028
rm,0,52184
mb,22,NaN
mr,117,2791403
mp,84,1199881
mx,205560,105339877
fm,9,107170
mn,9,32366
mg,102,2419669
mj,1,NaN
mh,61,NaN
mo,4958,29021156
mz,48,18785719
wa,54,1931282
np,945,23655119
nl,1679,16046180
nt,114,NaN
nc,6,217324
nz,1205,3880500
nu,19634,5176685
ng,1330,11396434
ni,8253,126004992
no,547,4513751
mu,55,2239025
pk,16393,146857081
ps,0,19404
pm,1867,3116409
pp,26,5518971
pa,401,5460621
pe,11062,26372358
rp,52919,79297756
pl,11769,38248076
po,1609,10362722
qa,125,611808
cf,311,NaN
md,2068,3631462
ro,6628,22131970
rs,20313,145976473
rw,148,8760003
sc,463,46214
st,674,158650
vc,559,107989
ws,165,175567
tp,1,141783
sa,1178,20891594
sq,663,10119118
ri,1,7503433
ri,6203,611525
se,18,81202
sl,1878,4295667
sn,1100,4138000
si,142,1992060
bp,7,423529
so,3007,7609265
sf,4090,44909738
od,1,6924455
sp,1711,40756001
ce,1505,18797000
su,1650,28434810
ns,245,473312
wz,18,1074761
sw,1682,8895960
sz,1298,7229854
sy,3350,16700984
tw,12120,NaN
ti,187,6289340
tz,476,34895398
th,4245,63069070
to,487,4992225
tn,327,98504
td,6618,1272347
ts,438,9673600
tu,3215,64100297
tx,94,4551762
tk,33,20186
ug,457,25088033
up,20914,48683865
ae,460,3132104
uk,18278,59119673
us,63,284968955
uy,541,3326762
uz,2031,24964450
ve,5170,24870441
vm,35419,78621000
ym,1607,18029989
za,295,10362137
zi,475,12586763
ja,9578,NaN
gl,706,NaN
gh,4023,NaN
sg,663,NaN
la,1398,NaN
