country,immigrants,population
af,2017,28397812
al,4711,2856673
ag,1305,37062820
aq,14,55636
ao,148,19549124
av,19,NaN
ac,359,87233
ar,4399,40374224
am,2979,2963496
aa,49,101597
as,2512,22031800
au,442,8389771
aj,781,9054332
bf,652,360498
ba,104,1251513
bg,14819,151125475
bb,465,280396
bo,2038,9490000
be,592,10920272
bh,965,308595
bn,486,9509798
bd,72,65124
bt,6109,716939
bl,2253,10156601
bk,946,3845929
bc,66,1969341
br,12258,195210154
vi,46,106267
bx,20,400569
bu,2570,7395599
uv,377,15540284
bm,12925,NaN
by,841,9232753
cb,2986,14364931
cm,4161,20624343
ca,13328,34005274
cv,1668,487601
cj,52,55509
ct,101,4349921
cd,120,11720781
ci,1950,17150760
ch,70863,1337705000
co,22406,46444798
cs,2164,4669685
iv,1621,18976588
hr,357,4417781
cu,33573,11281768
cy,122,1103685
ez,190,10474410
cg,1764,4111715
da,518,5547683
dj,37,834036
do,366,71167
dr,53870,10016797
ec,11492,15001072
eg,8978,78075705
en,18806,6218195
en,260,696167
ek,12,5741159
er,1656,1331475
et,14266,87095281
fj,1201,860559
fi,397,5363352
fr,3861,65023142
fg,9,NaN
fp,16,268065
gb,138,1556222
ga,859,1680640
gg,1518,4452800
gm,6888,81776930
fh,7429,24262901
gr,745,11153454
gj,664,104677
gp,34,NaN
gt,10467,14341576
gv,1379,10876033
pu,30,1586624
gy,6749,786126
ha,22582,9896400
ho,6448,7621204
hk,2432,7024200
hu,1022,10000023
ic,105,318041
in,69162,1205624648
id,3032,240676485
ir,14182,74462314
iz,19855,30962380
ei,1507,4560155
is,4515,7623600
it,2579,59277417
jm,19825,2690824
jn,6264,127450459
jo,3868,6046000
kz,1282,16321581
ke,7421,40909194
kr,6,97743
ks,22262,49410366
kv,355,NaN
ku,1037,2991580
kg,507,5447900
lo,1200,6395713
lo,538,5391428
lg,435,2097555
le,3487,4341092
lt,23,2008921
li,4837,3957990
ly,355,6040612
lh,985,3097282
lu,22,506953
mc,143,534626
mk,963,2102216
ma,80,21079532
mi,164,15013694
my,1714,28275835
mv,0,325694
ml,528,13985961
mt,74,414508
rm,37,52428
mb,15,NaN
mr,495,3609420
mp,84,1280924
mx,139120,117886404
fm,10,103619
mn,12,36845
mg,594,2712738
mj,1,NaN
mh,27,NaN
mo,5013,31642360
mz,53,23967265
wa,60,2178967
np,7115,26846016
nl,1321,16615394
nt,77,NaN
nc,6,250000
nz,919,4367800
nu,3565,5822209
ng,96,15893746
ni,13376,159707780
no,334,4889252
mu,63,2802768
pk,18258,173149306
ps,18,20470
pm,1536,3678128
pp,30,6858945
pa,467,6459721
pe,14247,29262830
rp,58173,93444322
pl,7643,38183683
po,755,10573100
qa,148,1749713
cf,968,NaN
md,1981,3562045
ro,4003,20246871
rs,6718,142385523
rw,489,10836732
sc,339,52352
st,872,177397
vc,576,109316
ws,219,186029
tp,10,178228
sa,1263,27258387
sq,1285,12950564
ri,20,7291436
ri,2196,620078
se,8,89770
sl,2011,5751976
sn,774,5076700
si,74,2048583
bp,6,526447
so,4558,9636173
sf,2758,50895698
od,1,9940929
sp,1684,46576897
ce,2036,20653000
su,2397,35652002
ns,216,524960
wz,22,1193148
sw,1097,9378126
sz,675,7824909
sy,2555,21532647
tw,6732,NaN
ti,299,7627326
tz,1850,44973330
th,9384,66402316
to,1563,6306014
tn,343,104098
td,5435,1328095
ts,418,10549100
tu,4483,72137546
tx,224,5041995
tk,29,30993
ug,1085,33987213
up,8477,45870700
ae,779,8441537
uk,12792,62766365
us,201,309326295
uy,1331,3371982
uz,4770,28562400
ve,9409,29043283
vm,30632,86932500
ym,3591,22763008
za,628,13216985
zi,1274,13076978
ja,6264,NaN
gl,518,NaN
gh,7429,NaN
sg,1285,NaN
la,1200,NaN
