country,immigrants,population
af,1252,23116142
al,3362,3033659
ag,759,33003442
aq,16,59117
ao,59,15421075
av,26,NaN
ac,301,80904
ar,3129,37970411
am,1287,3036032
aa,27,97015
as,1836,19895400
au,295,8121423
aj,746,8234100
bf,423,315624
ba,59,772058
bg,4616,139185986
bb,516,270844
bo,1858,9797000
be,455,10376133
bh,588,258346
bn,76,7665681
bd,92,63325
bt,15,616383
bl,1376,9016787
bk,6155,3895779
bc,27,1832602
br,6331,181752951
vi,43,108085
bx,20,353649
bu,3825,7823557
uv,60,12659086
bm,1193,NaN
by,74,7264340
cb,2263,12934369
cm,927,17223277
ca,11350,31676000
cv,745,466939
cj,35,46032
ct,6,3829636
cd,8,9311234
ci,1310,15995658
ch,40568,1288400000
co,14720,41872051
cs,1246,4171145
iv,483,16909801
hr,1153,4440000
cu,9262,11245926
cy,123,998142
ez,267,10193998
cg,110,3363418
da,405,5390574
dj,16,755085
do,204,70058
dr,26159,9071318
ec,7066,13279806
eg,3348,69432477
en,28231,6029366
en,235,568552
ek,0,4472533
er,556,1370720
et,6635,71989666
fj,1095,817224
fi,241,5213014
fr,2375,62242474
fg,4,NaN
fp,14,248536
gb,40,1315820
ga,263,1348548
gg,735,4328900
gm,5064,82534176
fh,4410,20301686
gr,651,11018324
gj,481,102369
gp,35,NaN
gt,14386,12062835
gv,29,9204581
pu,176,1360559
gy,6809,753612
ha,12293,8996229
ho,4645,6628171
hk,3574,6730800
hu,1021,10129552
ic,97,289521
in,50228,1093786762
id,1805,218145617
ir,7230,68543171
iz,2450,25959531
ei,983,3996521
is,2741,6689700
it,1644,57313203
jm,13347,2624695
jn,5971,127718000
jo,2927,5164000
kz,1740,14909018
ke,3209,33905011
kr,4,87371
ks,12382,47859311
kv,1,NaN
ku,707,2116353
kg,356,5043300
lo,896,5619069
lo,674,5373374
lg,458,2287955
le,2956,3690110
lt,5,1898757
li,1766,3124222
ly,140,5422612
lh,2266,3415213
lu,16,451630
mc,244,450711
mk,653,2080866
ma,40,17245275
mi,62,12238739
my,1200,24890654
mv,15,287594
ml,124,11219737
mt,37,398582
rm,26,52115
mb,14,NaN
mr,131,2965667
mp,57,1222811
mx,115585,108056312
fm,4,106816
mn,0,32968
mg,153,2468595
mj,1,NaN
mh,36,NaN
mo,3137,29586937
mz,36,19873460
wa,40,1981237
np,2095,24525527
nl,981,16225302
nt,59,NaN
nc,0,225735
nz,877,4027200
nu,4094,5317878
ng,808,12254040
ni,7872,132550146
no,320,4564855
mu,76,2389121
pk,9415,152419974
ps,8,19700
pm,1164,3240805
pp,34,5803302
pa,207,5682350
pe,9409,27073334
rp,45250,82604681
pl,10510,38204570
po,808,10458821
qa,72,660238
cf,513,NaN
md,1151,3612874
ro,3655,21574326
rs,13935,144667468
rw,109,9126167
sc,310,47679
st,488,161766
vc,322,108353
ws,178,177677
tp,1,147455
sa,735,22852333
sq,522,10673535
ri,1,7480591
ri,2994,613448
se,16,82800
sl,1492,4712763
sn,582,4114800
si,64,1995733
bp,5,446335
so,2444,8037706
sf,2210,46409243
od,1,7449905
sp,917,42187645
ce,1246,19173000
su,1883,29973979
ns,180,486867
wz,23,1087929
sw,963,8958229
sz,632,7339001
sy,1938,17298476
tw,6917,NaN
ti,137,6529609
tz,554,36760831
th,3126,64488338
to,1187,5258956
tn,238,99691
td,4138,1283868
ts,353,9839800
tu,3029,65938265
tx,84,4648037
tk,26,23412
ug,455,26838428
up,11633,47812950
ae,380,3369254
uk,9527,59647577
us,32,290107933
uy,469,3325411
uz,1445,25567650
ve,4018,25797219
vm,22087,80468400
ym,1382,19081306
za,280,10894519
zi,358,12673103
ja,5971,NaN
gl,405,NaN
gh,4410,NaN
sg,769,NaN
la,1147,NaN
