country,immigrants,population
af,1617,29824536
al,3364,2801681
ag,1369,38481705
aq,1,55128
ao,187,20820525
av,23,NaN
ac,337,89069
ar,4359,41086927
am,2681,2969081
aa,54,102384
as,2414,22723900
au,407,8429991
aj,663,9295784
bf,619,371960
ba,104,1317827
bg,14705,154695368
bb,460,283221
bo,1659,9464000
be,574,11128246
bh,847,324060
bn,415,10050702
bd,85,64798
bt,10198,741822
bl,1948,10496285
bk,815,3833916
bc,80,2003910
br,11441,198656019
vi,39,105275
bx,19,412238
bu,2440,7305888
uv,558,16460141
bm,17383,NaN
by,535,9849569
cb,2473,14864646
cm,3815,21699631
ca,12932,34754312
cv,1684,494401
cj,44,57570
ct,116,4525209
cd,155,12448175
ci,1673,17464814
ch,81784,1350695000
co,20931,47704427
cs,2020,4805295
iv,1760,19839750
hr,336,4267558
cu,32820,11270957
cy,107,1128994
ez,677,10510785
cg,3731,4337051
da,459,5591572
dj,106,859652
do,125,71684
dr,41566,10276621
ec,9342,15492264
eg,8988,80721874
en,16256,6297394
ek,20,736296
er,2643,6130922
en,227,1325016
et,14544,91728849
fj,853,874742
fi,348,5413971
fr,3862,65676758
fg,1,NaN
fp,30,273814
gb,197,1632572
ga,1159,1791225
gg,1341,4490700
gm,5812,80425823
fh,10592,25366462
gr,1054,11092771
gj,671,105483
gp,1,NaN
gt,10341,15082831
gv,1656,11451273
pu,47,1663558
gy,5683,795369
ha,22818,10173775
ho,6884,7935846
hk,2104,7154600
hu,1054,9920362
ic,103,320716
in,66434,1236686732
id,2603,246864191
ir,12916,76424443
iz,20369,32578209
ei,1514,4586897
is,4153,7910500
it,2673,59539717
jm,20705,2707805
jn,6061,127561489
jo,4099,6318000
kz,1202,16791425
ke,7043,43178141
kr,6,100786
ks,20895,50004441
kv,782,
ku,1044,3250496
kg,648,5607200
lo,949,6645827
lg,436,2034319
le,2879,4424888
lt,17,2051545
li,4109,4190435
ly,315,6154623
lh,924,2987773
lu,19,530946
mc,120,556783
mk,906,2105575
ma,79,22293914
mi,192,15906483
my,2605,29239927
mv,1,338442
ml,734,14853572
mt,62,419455
rm,50,52555
mb,1,NaN
mr,410,3796141
mp,77,1291167
mx,146406,120847477
fm,13,103395
mn,5,37579
mg,691,2796484
mj,265,
mh,27,NaN
mo,3656,32521143
mz,94,25203395
wa,59,2259393
np,11312,27474377
nl,1091,16754962
nt,106,NaN
nc,3,258000
nz,814,4433000
nu,3046,5991733
ng,48,17157042
ni,13575,168833776
no,276,5018573
mu,74,3314001
pk,14740,179160111
ps,10,20754
pm,1281,3802281
pp,21,7167010
pa,467,6687361
pe,12609,29987800
rp,57327,96706764
pl,6300,38535873
po,811,10514844
qa,141,2050514
cf,1461,
md,2021,3559519
ro,3748,20076727
rs,9969,143178000
rw,592,11457801
sc,311,53584
st,919,180870
vc,503,109373
ws,238,188889
tp,12,188098
sa,1343,28287855
sq,1615,13726021
ri,704,7199077
ri,801,621081
se,7,88303
sl,1688,5978727
sn,712,5312400
lo,528,5407579
si,86,2057159
bp,1,549598
so,5204,10195134
sf,2781,52274945
od,17,10837527
sp,1842,46761264
ce,1994,20328000
su,2471,37195349
ns,187,534541
wz,24,1230985
sw,968,9519374
sz,635,7996861
sy,3014,22399254
tw,5331,NaN
ti,411,8008990
tz,1516,47783107
th,9459,66785001
to,1756,6642928
tn,276,104941
td,5214,1337439
ts,422,10777500
tu,4162,73997128
tx,223,5172931
tk,30,32427
ug,1340,36345860
up,7642,45593300
ae,854,9205651
uk,12014,63695687
us,279,313873685
uy,1374,3395253
uz,4726,29774500
ve,9387,29954782
vm,28304,88772900
ym,2620,23852409
za,643,14075099
zi,914,13724317
ja,6061,NaN
gl,459,NaN
gh,10592,NaN
sg,1424,NaN
la,956,NaN
