country,immigrants,population
af,3417,25631282
al,7914,2968028
ag,1300,34507214
aq,28,58652
ao,272,17122409
av,32,NaN
ac,570,83467
ar,7327,38988923
am,6317,3002911
aa,51,100830
as,3249,20697900
au,524,8268641
aj,2371,8484550
bf,847,335622
ba,148,950951
bg,14644,144868702
bb,959,274923
bo,3086,9604000
be,716,10547958
bh,1252,278985
bn,275,8443671
bd,160,64523
bt,78,665568
bl,4025,9517395
bk,3789,3875157
bc,53,1895944
br,17903,188134315
vi,47,107700
bx,25,374697
bu,4828,7699020
uv,221,13822257
bm,4562,NaN
by,320,8042579
cb,5773,13555054
cm,2919,18611937
ca,18207,32570505
cv,1780,481940
cj,65,50026
ct,51,4032102
cd,73,10356822
ci,2774,16504530
ch,87307,1311020000
co,43144,43841370
cs,3109,4392493
iv,2067,17662417
hr,945,4440000
cu,45614,11301100
cy,180,1048314
ez,344,10238905
cg,738,3646653
da,699,5437272
dj,34,787544
do,471,70690
dr,38068,9479269
ec,17489,14023503
eg,10500,72990754
en,31782,6096692
en,423,621517
ek,13,5035036
er,1593,1346810
et,16152,78290649
fj,2115,828060
fi,542,5266268
fr,4258,63617975
fg,15,NaN
fp,37,257731
gb,85,1412907
ga,897,1482324
gg,2003,4398000
gm,8436,82376451
fh,9367,21947779
gr,1124,11127947
gj,1068,103260
gp,53,NaN
gt,24133,12995374
gv,1110,9798963
pu,25,1452659
gy,9552,765367
ha,22226,9388642
ho,8177,7037428
hk,3256,6857100
hu,1704,10071370
ic,145,303782
in,61369,1143289350
id,4868,227709821
ir,13947,70976584
iz,4337,28064095
ei,1906,4274137
is,5943,7053700
it,3215,58143979
jm,24976,2653042
jn,8265,127756000
jo,4038,5536000
kz,2073,15308084
ke,8779,36757498
kr,8,91953
ks,24386,48371946
kv,1,NaN
ku,1230,2417445
kg,785,5218400
lo,2892,5895930
lo,1111,5373054
lg,892,2218357
le,4083,4079823
lt,18,1940413
li,6887,3384791
ly,271,5686475
lh,1885,3269909
lu,28,472637
mc,189,479808
mk,1317,2093801
ma,72,18826126
mi,131,13307535
my,2281,26327098
mv,0,302825
ml,408,12325545
mt,70,405308
rm,53,52084
mb,30,NaN
mr,720,3237713
mp,108,1252698
mx,173749,112116694
fm,12,105686
mn,0,34369
mg,497,2559496
mj,1,NaN
mh,90,NaN
mo,4949,30395097
mz,78,21587317
wa,56,2052931
np,3733,25634043
nl,1651,16346101
nt,100,NaN
nc,7,238459
nz,1100,4184600
nu,4145,5524927
ng,116,13679705
ni,13459,143314909
no,481,4660677
mu,155,2554905
pk,17418,160905794
ps,8,20012
pm,2418,3428509
pp,30,6245797
pa,719,6014781
pe,21718,28030688
rp,74606,87366573
pl,17051,38141267
po,1409,10522288
qa,226,967602
cf,1600,NaN
md,3036,3585209
ro,7137,21193760
rs,13159,142487260
rw,502,9660946
sc,458,49823
st,1212,167658
vc,756,108908
ws,283,181073
tp,6,158806
sa,1542,25371936
sq,1367,11582925
ri,1,7411569
ri,5891,616854
se,15,84600
sl,3572,5280909
sn,997,4401400
si,115,2006868
bp,5,480745
so,9462,8687671
sf,3201,48269753
od,1,8376893
sp,1971,44397319
ce,2191,19858000
su,5504,32397535
ns,314,505186
wz,11,1118253
sw,1376,9080505
sz,983,7483934
sy,2918,18804914
tw,8086,NaN
ti,239,6954522
tz,949,39942347
th,11749,65883961
to,1720,5685845
tn,437,101617
td,8854,1303478
ts,510,10127900
tu,4941,68626337
tx,248,4801595
tk,52,27642
ug,1372,29711397
up,17140,46787750
ae,1006,4875639
uk,17207,60846820
us,333,298379912
uy,1664,3330217
uz,4015,26488250
ve,11341,27190882
vm,30691,83313000
ym,4308,20661714
za,672,11781612
zi,1049,12724308
ja,8265,NaN
gl,699,NaN
gh,9367,NaN
sg,1367,NaN
la,2892,NaN
