country,immigrants,population
af,1753,26349243
al,5737,2940880
ag,1036,35097043
aq,11,57919
ao,199,17712824
av,25,NaN
ac,415,84397
ar,5645,39331357
am,4351,2989882
aa,55,101219
as,2518,20827600
au,485,8300788
aj,1166,8581300
bf,738,342049
ba,133,1032353
bg,12074,146457067
bb,689,276277
bo,2328,9560000
be,638,10625700
bh,1073,286196
bn,258,8707490
bd,108,64888
bt,52,679365
bl,2590,9676456
bk,1569,3868665
bc,49,1915187
br,14295,189996976
vi,40,107423
bx,32,381440
bu,3981,7545338
uv,238,14235075
bm,3130,NaN
by,257,8328312
cb,4246,13747288
cm,3392,19097676
ca,15495,32887928
cv,2048,483713
cj,40,51472
ct,52,4106897
cd,74,10694366
ci,2274,16668892
ch,76655,1317885000
co,33187,44498390
cs,2540,4463226
iv,1193,17949061
hr,482,4436000
cu,29104,11301674
cy,137,1063095
ez,287,10298828
cg,1129,3758858
da,517,5461438
dj,23,798690
do,428,70795
dr,28024,9615015
ec,12248,14268397
eg,9267,74229577
en,21127,6122952
en,368,639618
ek,4,5209846
er,1081,1340680
et,12786,80440708
fj,1637,835392
fi,426,5288720
fr,3423,64012572
fg,9,NaN
fp,27,260361
gb,95,1447388
ga,826,1529406
gg,1554,4388400
gm,7582,82266372
fh,7610,22525659
gr,882,11163002
gj,751,103586
gp,38,NaN
gt,17908,13317931
gv,1088,10046967
pu,25,1484337
gy,5726,770407
ha,30405,9513714
ho,7646,7178436
hk,3527,6916300
hu,1266,10055780
ic,95,311566
in,65353,1159095250
id,3716,230972808
ir,10460,71809219
iz,3765,28740630
ei,1503,4398942
is,4496,7180100
it,2569,58438310
jm,19375,2662481
jn,6748,127770750
jo,3917,5661000
kz,1604,15484192
ke,7030,37752304
kr,10,93401
ks,22405,48597652
kv,1,NaN
ku,1017,2554920
kg,597,5268400
lo,2575,6013278
lo,763,5374622
lg,568,2200325
le,4267,4139813
lt,14,1955784
li,4102,3522294
ly,186,5782108
lh,1361,3231294
lu,39,479993
mc,178,493206
mk,1227,2096620
ma,53,19371023
mi,123,13713758
my,2149,26813819
mv,9,308239
ml,412,12725629
mt,53,406724
rm,48,52150
mb,23,NaN
mr,651,3330037
mp,88,1260403
mx,148640,113529819
fm,7,105097
mn,6,35013
mg,530,2595068
mj,1,NaN
mh,66,NaN
mo,4513,30667086
mz,81,22171404
wa,57,2080700
np,3472,25950022
nl,1368,16381696
nt,93,NaN
nc,5,242400
nz,1047,4228300
nu,3716,5595533
ng,97,14197289
ni,12448,147187353
no,343,4709153
mu,103,2569739
pk,13492,163928329
ps,11,20118
pm,1916,3491034
pp,31,6397623
pa,545,6125285
pe,17699,28328410
rp,72596,88875548
pl,10355,38120560
po,1019,10542964
qa,138,1152459
cf,972,NaN
md,1356,3576910
ro,5802,20882982
rs,9426,142114903
rw,357,9928143
sc,347,50478
st,928,170149
vc,567,109045
ws,290,182240
tp,7,163390
sa,1171,25915624
sq,1024,11904974
ri,1,7381579
ri,3586,617800
se,7,85033
sl,1999,5416015
sn,985,4588600
si,87,2018122
bp,10,492148
so,6251,8910851
sf,2988,48910248
od,1,8736736
sp,1578,45226803
ce,1831,20039000
su,2930,33218250
ns,197,510433
wz,13,1134977
sw,1145,9148092
sz,705,7551117
sy,2385,19561477
tw,8990,NaN
ti,172,7111025
tz,832,41119693
th,8751,66076927
to,1565,5834806
tn,438,102289
td,6829,1310040
ts,417,10225100
tu,4425,69496513
tx,217,4858236
tk,31,28638
ug,1122,30728747
up,11001,46509350
ae,758,5797347
uk,14545,61322463
us,171,301231207
uy,1418,3338384
uz,4665,26868000
ve,10692,27655937
vm,28691,84221100
ym,2396,21182162
za,576,12109620
zi,1057,12740160
ja,6748,NaN
gl,517,NaN
gh,7610,NaN
sg,1367,NaN
la,2892,NaN
