country,immigrants,population
af,4749,24860855
al,5947,2992724
ag,1115,33960903
aq,15,59117
ao,188,16544376
av,35,NaN
ac,440,82565
ar,7081,38647854
am,2591,3014917
aa,42,100031
as,3193,20394800
au,532,8227829
aj,1523,8391850
bf,698,329088
ba,140,879534
bg,11487,143135180
bb,846,273568
bo,3503,9663000
be,859,10478617
bh,876,271920
bn,193,8182362
bd,116,64154
bt,30,650417
bl,2197,9354709
bk,14074,3879828
bc,54,1875805
br,16662,186142403
vi,41,107863
bx,49,367815
bu,5635,7739900
uv,128,13421929
bm,2095,NaN
by,186,7770392
cb,4022,13356424
cm,1458,18137734
ca,21878,32312000
cv,1225,478651
cj,37,48623
ct,24,3960897
cd,31,10014413
ci,2404,16337749
ch,69933,1303720000
co,25566,43184026
cs,2278,4320130
iv,930,17393994
hr,1780,4442000
cu,36261,11292078
cy,196,1032586
ez,476,10211216
cg,260,3542867
da,718,5419432
dj,50,776585
do,198,70542
dr,27503,9343362
ec,11608,13777131
eg,7905,71777678
en,21359,6072538
en,438,603648
ek,10,4854066
er,796,1354775
et,10571,76167240
fj,1422,822484
fi,574,5246096
fr,4399,63176246
fg,8,NaN
fp,19,254884
gb,66,1379465
ga,581,1436549
gg,1389,4361400
gm,9264,82469422
fh,6491,21384034
gr,1070,11092913
gj,840,102951
gp,48,NaN
gt,16818,12678919
gv,495,9576331
pu,26,1421515
gy,9317,760834
ha,14524,9260879
ho,7012,6898825
hk,3705,6813200
hu,1567,10087065
ic,135,296734
in,84680,1127143548
id,3924,224480901
ir,13887,70152384
iz,4077,27377045
ei,2088,4159914
is,5755,6930100
it,3066,57969484
jm,18345,2643601
jn,8768,127773000
jo,3748,5411000
kz,2223,15147029
ke,5347,35785718
kr,4,90468
ks,26562,48138077
kv,1,NaN
ku,1152,2296314
kg,656,5162600
lo,1242,5790646
lo,965,5372807
lg,768,2238799
le,4282,3986865
lt,12,1925844
li,4880,3269786
ly,223,5594450
lh,2417,3322528
lu,35,465158
mc,133,468149
mk,1070,2090044
ma,60,18290394
mi,131,12924746
my,2632,25843466
mv,6,297576
ml,277,11941258
mt,74,403834
rm,32,52058
mb,37,NaN
mr,275,3146164
mp,99,1243253
mx,161445,110731826
fm,6,106198
mn,7,33808
mg,323,2526502
mj,1,NaN
mh,50,NaN
mo,4411,30125445
mz,54,21010376
wa,63,2027026
np,3158,25292058
nl,1815,16319868
nt,116,NaN
nc,5,234393
nz,1293,4133900
nu,3305,5455219
ng,126,13183798
ni,10597,139585891
no,423,4623291
mu,101,2522325
pk,14926,157971415
ps,8,19907
pm,1815,3365929
pp,44,6095959
pa,516,5904170
pe,15676,27723281
rp,60746,85821214
pl,15351,38165445
po,1125,10503330
qa,174,821159
cf,1064,NaN
md,3506,3595187
ro,7103,21319685
rs,18055,143113885
rw,276,9429457
sc,342,49139
st,832,165407
vc,625,108749
ws,173,179928
tp,8,154615
sa,1210,24690067
sq,913,11270826
ri,1,7440769
ri,5202,615820
se,16,82900
sl,2731,5119895
sn,1204,4265800
si,114,2000474
bp,3,469306
so,5829,8466938
sf,4536,47639556
od,1,8039351
sp,1888,43653155
ce,1894,19644000
su,5231,31585871
ns,300,499523
wz,16,1104642
sw,1517,9029572
sz,1092,7437115
sy,2831,18167367
tw,9196,NaN
ti,207,6805655
tz,829,38824384
th,5505,65559487
to,1523,5540214
tn,309,100960
td,6568,1296933
ts,495,10029000
tu,4614,67743052
tx,148,4747839
tk,34,26450
ug,858,28724869
up,22745,47105150
ae,812,4148883
uk,19800,60401206
us,183,295516599
uy,1154,3325155
uz,2887,26167000
ve,10645,26725897
vm,32784,82393500
ym,3366,20139661
za,499,11470022
zi,923,12710589
ja,8768,NaN
gl,718,NaN
gh,6491,NaN
sg,913,NaN
la,1242,NaN
