country,immigrants,population
af,2813,27032197
al,5754,2912559
ag,1037,35725377
aq,14,57053
ao,221,18314441
av,22,NaN
ac,444,85349
ar,5353,39676083
am,3586,2977488
aa,36,101344
as,2464,21249200
au,443,8336926
aj,1071,8763400
bf,682,348340
ba,96,1116038
bg,11753,147969967
bb,585,277634
bo,2390,9528000
be,642,10709973
bh,1077,293544
bn,317,8973293
bd,92,65273
bt,42,692159
bl,2436,9834098
bk,1491,3861201
bc,41,1933719
br,12195,191765567
vi,53,107091
bx,18,388017
bu,2960,7492561
uv,238,14659646
bm,3403,NaN
by,255,8624280
cb,3713,13940518
cm,3771,19595026
ca,15109,33245773
cv,1916,484651
cj,37,52912
ct,88,4185106
cd,96,11030628
ci,2017,16831184
ch,80271,1324655000
co,30213,45153037
cs,2090,4532711
iv,1645,18260044
hr,455,4434508
cu,49500,11296355
cy,141,1077089
ez,227,10384603
cg,1261,3876475
da,498,5493621
dj,39,810100
do,454,70883
dr,31879,9750195
ec,11663,14512402
eg,8712,75491922
en,19659,6151776
en,287,658025
ek,16,5382163
er,1270,1337090
et,12917,82621190
fj,1176,843851
fi,302,5313399
fr,4872,64371099
fg,6,NaN
fp,26,262877
gb,82,1482843
ga,739,1577984
gg,1620,4383800
gm,7091,82110097
fh,8195,23110139
gr,769,11186439
gj,784,103932
gp,33,NaN
gt,16182,13648307
gv,1735,10314678
pu,17,1516920
gy,6823,775739
ha,26007,9638255
ho,6540,7322368
hk,3373,6957800
hu,1127,10038188
ic,122,317414
in,63352,1174662334
id,3606,234243489
ir,13852,72660887
iz,4795,29429829
ei,1465,4489544
is,5851,7308800
it,2514,58826731
jm,18477,2671934
jn,6821,127704040
jo,3936,5786000
kz,1630,15674000
ke,6998,38773277
kr,4,94832
ks,26666,48948698
kv,1,NaN
ku,1104,2702221
kg,632,5318700
lo,2198,6139127
lo,653,5379233
lg,455,2177322
le,4254,4186088
lt,16,1972199
li,7193,3672714
ly,285,5876805
lh,967,3198231
lu,28,488650
mc,205,507528
mk,1107,2098769
ma,77,19926785
mi,133,14138207
my,1945,27302348
mv,0,313843
ml,523,13138299
mt,66,409379
rm,39,52245
mb,24,NaN
mr,844,3422901
mp,83,1268565
mx,189989,114968039
fm,13,104498
mn,7,35686
mg,659,2632834
mj,1,NaN
mh,61,NaN
mo,4425,30955151
mz,69,22762525
wa,46,2110791
np,4093,26249412
nl,1240,16445593
nt,78,NaN
nc,5,243985
nz,893,4268900
nu,3614,5667983
ng,107,14737895
ni,12475,151208080
no,350,4768212
mu,70,2593523
pk,19719,167008083
ps,6,20228
pm,1678,3553480
pp,15,6550877
pa,481,6236005
pe,15184,28625628
rp,54030,90371287
pl,8354,38125759
po,772,10558177
qa,151,1359114
cf,950,NaN
md,1692,3570108
ro,4930,20537875
rs,11695,141956409
rw,378,10222961
sc,363,51110
st,946,172734
vc,568,109158
ws,227,183444
tp,7,168253
sa,1194,26366358
sq,1149,12238791
ri,1,7350221
ri,3255,618649
se,16,86956
sl,2795,5532139
sn,922,4839400
si,79,2021316
bp,7,503541
so,10745,9140259
sf,2723,49561256
od,1,9118386
sp,1621,45954106
ce,1935,20217000
su,3598,34040065
ns,218,515372
wz,18,1153929
sw,1019,9219637
sz,720,7647675
sy,2641,20346056
tw,9073,NaN
ti,231,7275252
tz,838,42353790
th,6637,66185340
to,1661,5987491
tn,365,102947
td,5937,1316449
ts,410,10328900
tu,4210,70363511
tx,274,4917543
tk,35,29481
ug,1174,31778799
up,10813,46258200
ae,693,6798635
uk,14348,61806995
us,216,304093966
uy,1451,3348898
uz,6375,27302800
ve,10514,28120312
vm,31497,85122300
ym,1872,21703571
za,613,12456527
zi,953,12784041
ja,6821,NaN
gl,498,NaN
gh,8195,NaN
sg,1367,NaN
la,2892,NaN
