country,immigrants,population
af,877,19987071
al,3695,3108778
ag,789,31276295
aq,11,56768
ao,57,13510616
av,20,NaN
ac,454,76041
ar,1387,36514554
am,1250,3093820
aa,14,89004
as,1103,18926000
au,230,7992324
aj,738,7982750,
bf,398,293442
ba,70,640913
bg,6038,129966823
bb,715,266220
bo,1320,10035000
be,426,10226419
bh,572,231860
bn,59,6740491
bd,63,61285
bt,4,548599
bl,1444,8322408
bk,5412,3752004
bc,5,1724924
br,3887,172006362
vi,76,NaN
bx,16,324501
bu,4171,8210624
uv,17,11281942
bm,1200,NaN
by,16,6545273
cb,1394,11960467
cm,824,15513653
ca,8782,30499200
cv,902,434168
cj,18,39810
ct,3,3569523
cd,24,8002899
ci,1085,15265536
ch,32159,1252735000
co,9928,39234115
cs,883,3841734
iv,303,15802248
hr,580,4554000
cu,14019,11101580
cy,106,925491
ez,145,10283860
cg,87,45889100
da,367,5321799
gl,367,56968
id,1186,205946831
dj,6,711652
do,40,69902
dr,17811,8527881
ec,8882,12286995
eg,4421,65097777
en,14581,5928809
ek,0,502169
er,325,3795384
en,142,1380620
et,4262,64158887
fj,1599,806857
fi,307,5165474
fr,2196,60495470
fg,5,NaN
fp,9,232956
gb,4,1195919
ga,183,1193143
gh,183,NaN
gg,310,4452500
gm,5166,82100243
fh,3707,18384302
gr,719,10882580
gj,661,101441
gp,54,NaN
gt,7294,10941913
gv,5,8600911
pu,134,1245530
gy,3290,741046
ha,16514,8433339
ho,4793,6107385
hk,4910,6606500
hu,694,10237530
ic,79,277381
in,30157,1025014711
id,1186,205946831
ir,7176,64858754
iz,3360,23091408
ei,804,3754786
is,1847,6125000
it,1512,56916317
jm,14693,2574289
jn,4202,126650000
jo,3269,4681000
kz,723,14928426
ke,1407,30478597
kr,0,81377
ks,12795,46616677
kv,0,NaN
ku,801,1818405
kg,189,4840400
lo,846,NaN
lg,444,2390482
le,3033,3156706
lt,5,1839611
li,1351,2741755
ly,156,5092939
lh,1147,3524238
lu,11,430475
mc,294,425448
mk,569,2034487
ma,26,15262817
mi,41,11012707
my,991,22896048
mv,0,267456
ml,72,9977308
mt,43,379360
rm,3,52076
mb,23,NaN
mr,24,2627739
mp,38,1175267
mx,147402,102326781
fm,0,107808
mn,5,31795
mg,41,2376197
mj,0,NaN
mh,80,NaN
mo,2970,28374203
mz,31,17798102
wa,13,1857149
np,453,22690158
nl,773,15812088
nt,35,NaN
nc,3,209214
nz,522,3835100
nu,13327,5021079
ng,12,10596258
ni,6742,119831888
no,307,4461913
mu,40,2172287
pk,13485,140580398
ps,0,18878
pm,1640,2993685
pp,14,5240941
pa,216,5240321
pe,8414,25611482
rp,30943,76018006
pl,8773,38660271
po,1058,10217828
qa,78,572155
cf,190,NaN
md,753,NaN
ro,5678,22472041
rs,12321,147214777
rw,97,7853015
sc,463,44938
st,529,155073
vc,442,107878
ws,91,173758
tp,1,137396
sa,759,19620692
sq,368,9618564
ri,0,NaN
ri,1886,7540401
se,10,81410
sl,970,4030443
sn,355,3958700
lo,492,5396020
si,58,1983045
bp,0,401323
so,1690,7149044
sf,1577,42923485
od,0,6362201
sp,869,39926268
ce,899,19056000
su,1346,27085465
ns,141,460215
wz,8,1048151
sw,821,8857874
sz,647,7143992
sy,2048,15995760
tw,6700,NaN
ti,104,6094661
tz,313,33183093
th,2366,61623143
to,254,4740974
tn,281,97457
td,4259,1264781
ts,150,9455900
tu,2215,62243779
tx,65,4449427
tk,27,17866
ug,250,23507800
up,10102,49673350
ae,310,2893648
uk,7647,58682466
us,29,279040000
uy,267,3308884
uz,1221,24311650
ve,2498,23945002
vm,20335,76596700
ym,1160,17035531
za,143,9839179
zi,184,12384727
ja,4202,NaN
sg,554,NaN
la,1358,NanN
